dataset,seed,method,kind,roc_auc,pr_auc,accuracy,balanced_accuracy,f1,mcc,threshold,n,n_positive
b3db,0,soft_vote,ensemble,0.8912280701754386,0.9264692509423906,0.7810499359795134,0.7802361673414304,0.8072153325817362,0.5555275799045944,0.6486944556236267,781,456
b3db,0,rank_avg,ensemble,0.8902226720647775,0.9244526107642485,0.793854033290653,0.8013663967611335,0.8108108108108109,0.5942329408298693,0.46923076923076923,781,456
b3db,0,stacking,ensemble,0.8934885290148448,0.9287926554050479,0.7810499359795134,0.7683029689608637,0.8182784272051009,0.5452087926335726,0.5,781,456
b3db,1,gcn,single,0.8820703181560899,0.9038225857421865,0.7823303457106274,0.7855605575958615,0.7809278350515464,0.5716104014098177,0.7429236769676208,781,414
b3db,1,sage,single,0.895667969829799,0.9105176173121782,0.7797695262483995,0.7851557872290014,0.7700534759358288,0.5753318187766432,0.7185488939285278,781,414
b3db,1,gin,single,0.885028761731759,0.9014605691802466,0.7989756722151088,0.804354407718938,0.7903871829105474,0.6138368564994104,0.6561926603317261,781,414
b3db,1,gat,single,0.8924758783187878,0.9094481931384939,0.7823303457106274,0.7917472916584396,0.7557471264367817,0.6063106607337915,0.8730112314224243,781,414
b3db,1,soft_vote,ensemble,0.8968526635864629,0.9147432418663872,0.8066581306017926,0.8109821111242743,0.8020969855832241,0.6243728627043107,0.6889885663986206,781,414
b3db,1,rank_avg,ensemble,0.8968033013466017,0.914620780787348,0.7848911651728553,0.7788505837907568,0.8125,0.5726320387333087,0.40192307692307694,781,414
b3db,1,stacking,ensemble,0.8978333267517014,0.9141164496036801,0.8194622279129321,0.8190380286695889,0.8290909090909091,0.6377990654111022,0.5,781,414
b3db,2,gcn,single,0.8853215647752225,0.9369386342194911,0.7964148527528809,0.760787443661158,0.8490028490028491,0.5404884195498859,0.561676561832428,781,509
b3db,2,sage,single,0.8892255576100774,0.939128612781762,0.7720870678617158,0.6950479602450017,0.8444055944055944,0.4767069254379257,0.39426591992378235,781,509
b3db,2,gin,single,0.9019415231711545,0.9454014379451328,0.7976952624839949,0.7651934300242691,0.8489483747609943,0.5451977355712874,0.47988423705101013,781,509
b3db,2,gat,single,0.881941234254016,0.9348680098700587,0.7964148527528809,0.7428131861782041,0.8547945205479452,0.5345391182606047,0.439830482006073,781,509
b3db,2,soft_vote,ensemble,0.9003235871951926,0.9453627504972121,0.8040973111395646,0.7606899341268925,0.8574091332712023,0.5545340040491851,0.4786723852157593,781,509
b3db,2,rank_avg,ensemble,0.8980194730151394,0.9439687982500382,0.8092189500640204,0.8134064775222466,0.8452751817237798,0.6053123076115587,0.4108974358974359,781,509
b3db,2,stacking,ensemble,0.9018548480295852,0.9459963060655657,0.8079385403329066,0.776475644285219,0.8565965583173997,0.568392268206342,0.5,781,509
