Molecular_Weight,Hydrogen_bond_Acceptor,Hydrogen_bond_Donor,xlogP,Physiological_Charge,Polarized_Surface_Area,BBB
371.5,2,0,7.1,0,12.5,1
300.74,3,1,2.2,0,52.9,1
656.7,14,3,1.2,0,189,1
291.4,1,0,5.6,0,3.2,1
471.7,3,2,6.6,0,43.7,0
288.4,2,1,3.3,0,37.3,1
258.23,4,1,0.3,0,83.6,1
180.16,3,1,-0.8,0,67.2,1
201.25,3,1,2.5,0,69.8,1
356.2,5,3,-0.3,0,112,1
399.6,5,0,5.4,0,60.3,1
370.6,4,0,5.9,0,57.1,1
189.22,4,0,0.5,0,41.1,1
328.4,5,1,0.9,0,84.1,1
312.4,2,1,2.4,0,37.3,1
247.27,5,0,-0.4,0,106,1
178.23,2,0,0.3,0,33.2,1
382.5,6,0,3.2,0,61.6,1
311.4,4,2,1.5,0,86.9,0
270.35,3,2,2.3,0,83.6,0
421.4,7,2,0.5,0,103,1
304.39,5,1,3.5,0,69,1
133.19,1,1,1.5,0,26,1
371.9,4,0,2.8,0,42.4,1
253.26,7,3,1,0,130,0
343.2,3,0,2.4,0,43.1,1
252.73,0,0,2.8,0,0,1
229.38,4,2,0.3,0,66.8,1
407.5,7,0,5,0,35,1
409.4,7,1,3.5,0,40.5,1
352.4,6,0,5.2,0,31.8,1
301.5,2,1,4.5,0,23.5,1
298.4,3,0,4.7,0,31.8,1
143.14,3,0,0.3,0,46.6,1
290.32,7,2,0.9,0,106,1
370.4,7,4,2.7,1,119,0
369.4,8,3,2.5,0,118,1
294.4,2,0,5.8,0,6.5,1
456.6,7,3,2.4,0,119,0
89.09,2,1,-0.2,0,52.3,1
1111.3,18,6,9.1,0,332,0
1449.2,26,19,-2.6,0,531,0
277.4,3,1,2.9,0,32.7,1
129.16,3,2,-2.2,0,63.3,1
237.29,4,1,1.5,0,39.7,1
220.34,2,1,2.8,0,49.7,1
211.22,3,2,-1.3,0,88.2,1
305.33,4,0,1,0,74.3,1
267.24,6,2,0,0,93.2,1
307.4,2,0,2.5,0,37.6,1
212.23,5,1,0.2,0,94.6,1
388.8,7,0,0.5,0,91.8,1
331.9,3,0,4.8,0,37.8,1
392.5,6,3,1.9,0,94.8,1
404.5,6,2,2.2,0,101,1
209.24,3,2,1.1,0,72.6,1
362.5,5,3,1.6,0,94.8,1
360.4,5,3,1.6,0,94.8,1
272.4,2,2,4,0,40.5,0
608.7,10,1,4,0,118,1
415.5,6,1,1.9,0,147,0
211.26,4,4,-0.6,0,72.7,0
169.18,4,4,-1.2,0,86.7,0
183.2,4,4,-1.4,0,72.7,0
135.21,1,1,1.8,0,26,1
402.5,6,2,2.4,0,101,1
236.27,3,2,1.8,0,75.3,1
208.21,3,2,1,0,75.3,1
358.4,5,2,1.5,0,91.7,1
392.5,6,3,2,0,94.8,1
378.4,6,3,1.4,0,94.8,1
416.5,6,2,2.7,0,101,1
334.4,5,2,1.8,0,112,0
138.17,3,0,0.1,0,43.6,1
150.22,2,2,1.3,0,38,1
323.13,5,3,1.1,0,115,1
177.45,1,1,2,0,20.2,1
825,12,3,2.8,0,171,0
267.32,3,2,2.3,0,43.7,1
231.29,3,0,1,0,26.8,1
317.4,4,0,2.9,0,38.8,1
396.4,8,2,-0.4,0,167,0
197.19,5,4,-2.7,0,104,1
442.6,6,2,1.6,0,81.1,1
217.26,2,1,1.9,0,46.2,1
310.5,3,0,5.6,0,31.8,1
326.5,4,0,4.2,0,48.8,1
380.4,7,2,1.2,0,131,0
435.9,7,2,2.4,0,138,0
232.28,4,2,1.4,0,105,1
399.4,6,1,1,0,83.1,0
136.19,2,2,0.9,0,38,1
401.4,7,2,2.4,0,138,0
119.37,0,0,2.3,0,0,1
349.4,6,3,-1.1,0,138,0
223.22,4,1,1.4,0,56.8,1
88.15,1,1,1.6,0,20.2,1
133.4,0,0,2.4,0,0,1
250.29,2,0,2.5,0,32.7,1
204.22,3,3,-1.1,0,79.1,1
28.05,0,0,1.2,0,0,1
64.51,0,0,1.2,0,0,1
84.93,0,0,1.5,0,0,1
76.15,2,0,2.1,0,64.2,1
42.08,0,0,1.6,0,0,1
44.05,1,0,-0.1,0,12.5,1
122.99,0,0,1.8,0,0,1
98.96,0,0,1.9,0,0,1
74.12,1,1,0.5,0,20.2,1
282.76,1,1,2.1,0,20.2,1
86.18,0,0,3,0,0,1
88.15,1,1,0.9,0,20.2,1
118.48,3,0,1.9,0,0,1
170.92,4,0,2.8,0,0,1
242.4,4,0,1,0,85,1
434.5,7,2,2.5,0,93.1,1
210.23,3,2,1.1,0,75.3,1
243.4,1,0,3.6,0,3.2,1
261.36,3,0,2.8,0,29.5,1
212.25,3,2,1.7,0,75.3,1
303.8,2,0,4.1,0,12.5,1
203.24,2,0,1.2,0,37.4,1
332.4,4,2,1.1,0,101,1
237.09,2,2,1.5,0,72.2,1
279.13,3,2,2.3,0,75.3,1
102.17,1,1,1.4,0,20.2,1
98.14,1,1,0.8,0,20.2,1
121.14,4,4,-2.9,0,86.7,0
725.7,8,4,5.1,0,118,1
145.2,2,1,1.5,0,52.3,1
74.12,1,1,0.8,0,20.2,1
72.11,1,0,0.3,0,17.1,1
133.4,0,0,1.9,0,0,1
131.38,0,0,2.6,0,0,1
74.08,2,0,0.2,0,26.3,1
